#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
2007co,0.027,54264.6,0.1,"B,M,SA,SN",1.16,0.03,B,-19.41,0.07,-0.1,0.04,-0.08,0.04,CfA3,,17.0,275.765,29.897111111111112,0.027000000000000003,0.001,16.456,0.006999999999999999,-0.46799999999999997,0.08800000000000001,0.15,0.006999999999999999,35.477,0.192
2007cq,0.0262,54280.6,0.2,"B,M,SA,SN",1.2,0.06,B,-19.35,0.06,-0.02,0.03,0.0,0.03,CfA3,,2.0,333.668375,5.080166666666666,0.025,0.001,15.799000000000001,0.011000000000000001,-0.6920000000000001,0.163,0.034,0.01,35.086,0.198
2007fb,0.018,54286.7,0.3,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,,,11.0,359.2182083333333,5.5088333333333335,,,,,,,,,,
2007fs,0.0173,54296.3,2.1,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,,,8.0,330.41849999999994,-21.508222222222226,,,,,,,,,,
2007hj,0.0143,54348.9,0.2,"M,SA",1.95,0.06,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,14.0,345.4495416666666,15.5865,,,,,,,,,,
2007if,0.0742,54348.4,0.5,Sca10,0.71,0.06,Sca10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Sca10,,11.0,17.714041666666667,15.461083333333333,,,,,,,,,,
2007jg,0.0371,54365.8,0.5,Str11,1.17,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11,,2.0,52.46170833333333,0.056833333333333326,,,,,,,,,,
2007kk,0.041,54382.2,2.0,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,,,16.0,55.59691666666666,39.241777777777784,,,,,,,,,,
2007le,0.0068,54398.7,0.5,"B,M,SA,SN",1.01,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,27.0,354.70187499999986,-6.522694444444443,,,,,,,,,,
2007nq,0.045,54397.6,0.5,Str11,1.47,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11,,2.0,14.389999999999995,-1.38875,,,,,,,,,,
2007ux,0.0309,54460.4,1.0,SA,1.74,0.07,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,2.0,152.33325,14.992444444444445,,,,,,,,,,
2008A,0.0162,54478.1,0.5,B,1.28,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,14.0,24.572416666666665,35.370472222222226,,,,,,,,,,
2008C,0.017,54465.8,0.5,Str11,1.11,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11,,7.0,104.29804166666666,20.437138888888892,,,,,,,,,,
2008L,0.0194,54492.4,0.4,"B,M,SA,SN",1.38,0.06,B,-19.26,0.07,-0.13,0.07,-0.08,0.08,CfA3,,1.0,49.319375,41.382666666666665,0.019,0.001,15.104000000000001,0.045,-2.04,0.25,-0.084,0.037000000000000005,34.542,0.242
2008Q,0.0081,54505.4,0.2,SA,1.25,0.08,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,6.0,21.238458333333327,9.550416666666667,,,,,,,,,,
2008R,0.0135,54492.8,0.5,Str11,1.54,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11,,1.0,45.97375,-11.994277777777775,,,,,,,,,,
2008Z,0.021,54514.7,0.3,"M,SA,SN",1.02,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,16.0,145.81354166666662,36.284416666666665,,,,,,,,,,
2008ae,0.0301,54507.4,1.0,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,,,6.0,149.01333333333332,10.499666666666666,,,,,,,,,,
2008af,0.0335,54501.4,0.5,B,1.33,0.08,B,-19.14,0.08,-0.08,0.07,-0.05,0.07,CfA3,,2.0,224.86874999999995,16.653416666666665,0.034,0.001,17.314,0.017,-1.979,0.205,0.261,0.02,35.903,0.187
2008ar,0.0261,54534.1,0.6,"M,SA,SN",1.1,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,20.0,186.158,10.838166666666668,,,,,,,,,,
2008bf,0.0246,54554.6,0.4,"B,M,SA,SN",1.05,0.04,B,-19.53,0.05,-0.04,0.04,-0.01,0.04,CfA3,,14.0,181.01208333333332,20.245166666666666,0.026000000000000002,0.001,15.696,0.01,0.17,0.09699999999999999,0.032,0.01,35.075,0.195
