#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
1998ef,0.0177,51113.9,0.3,"B,M,SA",1.27,0.07,B,-19.3,0.07,-0.08,0.06,-0.03,0.06,CfA2,,4.0,15.861958333333332,32.23677777777778,0.017,0.001,14.806,0.025,-1.389,0.257,-0.005,0.018000000000000002,34.117,0.237
1998eg,0.0249,51110.9,0.4,"M,SA,SN",1.14,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,6.0,339.8762083333333,8.605722222222223,0.024,0.001,16.077,0.015,-0.8220000000000001,0.35600000000000004,0.047,0.018000000000000002,35.317,0.207
1998es,0.0106,51142.7,0.9,"B,M,SA,SN",0.85,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Gan10",,26.0,24.32333333333333,5.880722222222222,,,,,,,,,,
1999aa,0.0144,51232.4,0.9,"B,M,SA,SN",0.78,0.02,B,-19.64,0.07,-0.17,0.04,-0.13,0.04,"CfA2,Jha07",,28.0,126.92512499999998,21.487444444444453,0.015,0.001,14.694,0.009000000000000001,0.981,0.073,-0.015,0.009000000000000001,34.277,0.242
1999ac,0.0095,51250.5,0.7,"B,M,SA,SN",1.23,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Gan10",,19.0,241.81254166666665,7.972333333333332,,,,,,,,,,
1999bh,0.0172,51272.1,0.5,B,1.38,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,1.0,163.69570833333333,61.288888888888884,,,,,,,,,,
1999by,0.0022,51309.2,0.5,"B,M,SN",1.97,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"Jha07,Gan10",,18.0,140.4669583333333,51.00183333333333,,,,,,,,,,
1999cc,0.0314,51315.6,0.3,"B,M,SA,SN",1.35,0.06,B,-19.14,0.08,-0.08,0.03,-0.07,0.03,"CfA2,Jha07",,7.0,240.675125,37.359555555555566,0.032,0.001,16.754,0.009000000000000001,-1.756,0.161,0.063,0.011000000000000001,35.857,0.185
1999cl,0.0078,51342.5,0.6,"B,SA,SN",1.17,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Jha07",,11.0,187.983375,14.426472222222221,,,,,,,,,,
1999da,0.0122,51371.1,0.4,"M,SN",1.9,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,1.0,263.84566666666666,60.81369444444446,,,,,,,,,,
1999dq,0.0141,51436.0,0.7,"B,M,SA,SN",0.86,0.04,B,-19.55,0.07,-0.08,0.05,-0.06,0.04,"CfA2,Gan10",,23.0,38.49866666666666,20.975111111111108,0.013000000000000001,0.001,14.347999999999999,0.006999999999999999,0.287,0.034,0.11800000000000001,0.008,33.529,0.259
1999ef,0.0393,51457.3,1.3,Jha07,1.06,0.05,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,3.0,14.6925,12.745833333333332,0.038,0.001,17.029,0.055,0.308,0.322,-0.003,0.022000000000000002,36.51,0.19399999999999998
