idx_kpr,sn_kpr,file_kpr,phase_kpr,low_wl_kpr,high_wl_kpr,snr_kpr,src_kpr
20,1999ac,sn1999ac-19990312-ui-corrected.flm,-0.3853392768725628,3298.0,10350.0,184.48334977864008,bsnip
21,1999cp,sn1999cp-19990709-ui-corrected.flm,4.856956056582031,3312.0,10400.0,210.7816596099548,bsnip
22,1999da,sn1999da-19990709-ui.flm,-2.6908397888787294,3302.0,10366.0,65.82823279084734,bsnip
23,1999da,sn1999da-19990718-ui.flm,6.183500461641901,3370.0,10366.0,53.14949711531649,bsnip
24,1999dk,sn1999dk-19990817-ui.flm,-6.861354142035096,3344.0,10344.0,152.36826577803362,bsnip
25,1999dq,sn1999dq-19990910-ui-corrected.flm,-3.560981813558142,3306.0,10300.0,87.08998728552328,bsnip
26,1999dq,sn1999dq-near-19990917-clear-ui-corrected.flm,3.336202230639819,3306.0,10350.0,112.27415307194323,bsnip
27,1999ek,sn1999ek-19991105-ui.flm,5.241164318804625,3556.0,10228.0,17.546200227043716,bsnip
28,1999gd,sn1999gd-19991205-uvoir.flm,-1.3559035806273898,3980.0,9768.0,153.32448750671333,bsnip
29,1999gh,sn1999gh-19991205-uvoir.flm,1.17894686701015,4022.0,9872.0,207.91354242133644,bsnip
30,2000dk,sn2000dk-20000926-ui-corrected.flm,1.0231541453934858,3296.0,10170.0,100.90492093356879,bsnip
31,2000fa,sn2000fa-20001221-ui-corrected.flm,6.922719150081721,3246.0,10240.0,55.3032409867448,bsnip
32,2001az,sn2001az-20010430-ui.flm,-3.1940193812793605,3186.0,10134.0,35.56305389477378,bsnip
33,2001ba,sn2001ba-20010430-ui.flm,-5.12550543583489,3220.0,10244.0,2.0548691448799654,bsnip
34,2001bf,sn2001bf-20010516-ui-corrected.flm,1.9596238703831534,3302.0,10240.0,95.50987567258386,bsnip
35,2001cp,sn2001cp-20010629-ui.flm,0.9174473445884503,3280.0,10122.0,39.99979142069658,bsnip
36,2001da,sn2001da-20010716-ui-corrected.flm,2.216880735746224,3298.0,10174.0,53.28519256823751,bsnip
37,2001eh,sn2001eh-20010911-ui.flm,-6.289077717653468,3236.0,9978.0,29.46383861105367,bsnip
38,2001eh,sn2001eh-20010912-ui.flm,-5.193648050796576,3236.0,9978.0,44.933017529893085,bsnip
39,2001eh,sn2001eh-20010920-ui.flm,2.5968240253947803,3236.0,9978.0,65.88401694236528,bsnip
40,2001ep,sn2001ep-20011020-ui-corrected.flm,2.684751892405769,3310.0,10214.0,125.59453226767009,bsnip
41,2001ep,sn2001ep-20011022.654-joined-corrected.flm,4.840449735425864,3932.0,10016.0,67.51955194859207,bsnip
42,2001ep,sn2001ep-20011023.652-joined-corrected.flm,5.825516790065098,3932.0,10016.0,115.3013774731722,bsnip
43,2001fe,sn2001fe-20011115-ui.flm,-1.0645865625278401,3290.0,10210.0,167.00838995414574,bsnip
44,2001fh,sn2001fh-20011116-ui-corrected.flm,5.868764745949821,3310.0,10216.0,35.059070321037694,bsnip
45,2002ar,sn2002ar-20020211-ui.flm,4.157872970812186,3256.0,10046.0,7.830615835845846,bsnip
46,2002bf,sn2002bf-20020307-os.flm,3.951388258312279,3860.0,8542.0,392.78343185856966,bsnip
47,2002bo,sn2002bo-20020322-ui-corrected.flm,-1.3074563849298184,3340.0,10306.0,49.147901974521595,bsnip
