idx,SN,zhel_spec,tmax(B)_spec,tmax(B)_err_spec,ref_spec,Dm15_spec,Dm15_err_spec,ref1_spec,M_B_spec,M_B_err_spec,B-V_spec,B-V_err_spec,Bm-Vm_spec,Bm-Vm_err_spec,Phot_ref_spec,ref..2,n_spec,RA,DEC,z_CMB,z_CMB_salt2_err,m_B_salt2,m_B_salt2_err,x_1_salt2,x_1_salt2_err,c_salt2,c_salt2_err,mu_salt2,mu_salt2_err,EW5972_spec,EW6355_spec,v6355_spec,Phase_spec,BClass_spec,WClass_spec,SNIa_salt,z_cmb_salt,z_err_salt,m_B_salt,m_B_err_salt,s_salt,s_err_salt,c_salt,c_err_salt,mu_salt,mu_err_salt,SNIa_ml31,z_ml31,z_err_ml31,x1_ml31,x1_err_ml31,c_ml31,c_err_ml31,mu_ml31,mu_err_ml31
163,2006ax,0.0167,53826.8,0.3,"B,M,SA,SN",1.06,0.03,B,-19.5,0.06,-0.1,0.03,-0.09,0.03,CfA3,,4.0,171.01441666666662,-12.291444444444444,0.018000000000000002,0.001,15.005999999999998,0.008,-0.052000000000000005,0.057,-0.039,0.008,34.541,0.223,9.4,93.1,-10233.0,0.5,CN,N,sn06ax,0.018000000000000002,0.001,15.054,0.138,0.969,0.003,-0.017,0.003,34.524,0.208,sn06ax,0.018000000000000002,0.001,-0.141,0.04,0.062,0.046,34.684,0.18600000000000003
164,2006az,0.0311,53826.4,0.4,"B,M,SA,SN",1.29,0.03,B,-19.28,0.06,-0.14,0.04,-0.1,0.04,CfA3,,2.0,183.06116666666665,56.1793888888889,0.032,0.001,16.436,0.012,-1.758,0.09,-0.052000000000000005,0.011000000000000001,35.824,0.184,20.0,78.3,-10776.0,-1.0,CN,N,sn06az,0.032,0.001,16.441,0.138,0.818,0.003,-0.049,0.003,35.806,0.165,sn06az,0.032,0.001,0.248,0.054000000000000006,0.040999999999999995,0.034,35.852,0.13699999999999998
165,2006bq,0.0219,53846.9,0.8,"B,SA,SN",1.29,0.06,B,-19.18,0.09,-0.09,0.07,-0.07,0.07,CfA3,,1.0,279.9945,39.98077777777778,0.021,0.001,16.218,0.013999999999999999,-1.9,0.115,0.162,0.012,35.062,0.20800000000000002,20.9,179.4,-13581.0,5.3,BL,HV,sn06bq,0.021,0.001,16.273,0.138,0.773,0.011,0.156,0.001,35.053000000000004,0.191,sn06bq,0.021,0.001,0.28600000000000003,0.071,0.235,0.111,35.163000000000004,0.18600000000000003
166,2006br,0.0245,53852.1,1.1,"B,SA,SN",1.12,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,202.5075,13.415777777777775,,,,,,,,,,,8.2,91.8,-13962.0,0.2,BL,HV,,,,,,,,,,,,,,,,,,,,
167,2006bt,0.0322,53857.4,0.6,"B,M,SA",1.0,0.06,B,-19.47,0.09,-0.13,0.06,-0.08,0.06,"CfA3,Gan10",,9.0,239.140875,20.052,0.033,0.001,16.896,0.008,0.069,0.10400000000000001,0.162,0.008,35.944,0.182,34.7,122.7,-11515.0,-0.1,CL,N,sn06bt,0.033,0.001,16.915,0.138,0.99,0.006999999999999999,0.149,0.004,35.981,0.16399999999999998,sn06bt,0.033,0.001,-0.198,0.047,0.664,0.098,35.784,0.158
168,2006bu,0.081,53856.4,0.2,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,1.0,208.19920833333333,5.313722222222221,0.084,0.001,18.133,0.09,2.347,0.816,-0.126,0.042,38.131,0.22899999999999998,,,,,,,sn06bu,0.084,0.001,18.086,0.16,1.4,0.044,-0.037000000000000005,0.031,38.143,0.19,sn06bu,0.084,0.001,-0.27,0.102,0.067,0.065,38.016999999999996,0.131
169,2006bw,0.03,53852.3,3.5,"B,SA",1.28,0.09,B,-19.29,0.1,-0.11,0.07,-0.1,0.08,CfA3,,1.0,218.486375,3.798833333333333,0.031,0.001,17.476,0.052000000000000005,-2.173,0.272,0.369,0.028999999999999998,35.778,0.20600000000000002,48.6,131.9,-11012.0,4.9,CL,N,,,,,,,,,,,,sn06bw,0.031,0.001,0.42700000000000005,0.132,0.358,0.215,35.681999999999995,0.20600000000000002
170,2006bz,0.0268,53862.6,0.2,M,2.09,0.16,CfA3,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,3.0,195.18075,27.96161111111111,,,,,,,,,,,47.8,110.2,-10443.0,-0.3,CL,91bg,sn06bz,0.028,0.001,18.244,0.138,0.496,0.005,0.5589999999999999,0.009000000000000001,35.63800000000001,0.174,sn06bz,0.027999999999999997,0.001,1.505,0.075,0.35100000000000003,0.193,35.306999999999995,0.191
171,2006cf,0.0416,53872.4,0.2,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,7.0,163.51075,46.02675,0.042,0.001,17.090999999999998,0.04,-1.166,0.415,-0.02,0.027999999999999997,36.461999999999996,0.195,13.7,82.2,-10512.0,1.8,CN,N,sn06cf,0.042,0.001,17.082,0.138,0.887,0.001,-0.011,0.006999999999999999,36.436,0.155,sn06cf,0.042,0.001,-0.055999999999999994,0.095,0.114,0.08,36.564,0.146
172,2006cj,0.0675,53878.5,1.2,"M,SA,SN",0.81,0.06,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,8.0,194.85174999999995,28.347666666666665,0.068,0.001,18.087,0.027000000000000003,1.475,0.59,-0.075,0.017,37.868,0.182,12.4,107.5,-11041.0,-0.2,BL,N,sn06cj,0.068,0.001,18.145,0.138,1.105,0.053,-0.017,0.01,37.784,0.161,sn06cj,0.068,0.001,-0.147,0.11900000000000001,0.045,0.037000000000000005,37.821999999999996,0.131
