#SN,RA,DEC
1998dh,348.66795833333333,4.53725
1998dk,3.6339999999999995,-0.736361111111111
1998dm,21.558208333333333,-6.103888888888888
1998dx,272.7995416666666,49.86130555555556
1998eb,85.55008333333333,69.37397222222222
1998ec,103.2754583333333,50.03947222222222
1998ef,15.861958333333332,32.23677777777778
1998eg,339.8762083333333,8.605722222222221
1998es,24.32333333333333,5.880722222222222
1998ex,115.42616666666665,64.73397222222222
1999X,133.63429166666666,36.51141666666667
1999aa,126.92512499999998,21.487444444444446
1999ac,241.81254166666662,7.972333333333333
1999be,125.91083333333331,18.305666666666667
1999bh,163.69570833333333,61.288888888888884
1999bt,257.907375,72.42097222222223
1999bv,260.6697083333333,60.00358333333333
1999by,140.4669583333333,51.00183333333333
1999cb,246.45170833333333,40.342333333333336
1999cc,240.675125,37.35955555555556
1999ce,172.21487499999998,57.134027777777774
1999cf,203.37379166666665,33.05636111111111
1999cl,187.983375,14.426472222222221
1999cm,227.82991666666663,61.11983333333333
1999cp,211.63041666666663,-5.446944444444445
1999cw,5.006083333333333,-6.334333333333333
1999da,263.84566666666666,60.813694444444444
1999dq,38.49866666666666,20.975111111111108
1999ef,14.692499999999999,12.745833333333332
1999ej,20.739083333333333,33.46611111111111
1999ek,84.13166666666665,16.638277777777777
1999gd,129.60254166666664,25.759194444444443
1999gh,146.08229166666663,-21.27361111111111
1999gj,157.33029166666665,26.105333333333334
1999gm,128.79887499999998,-8.387611111111111
1999gp,37.913124999999994,39.381194444444446
2000A,351.9954166666666,8.783916666666666
2000B,106.41970833333332,50.58625
2000E,309.307375,66.09727777777778
2000K,176.95866666666666,56.01702777777778
2000O,182.81491666666665,17.892277777777778
2000bh,185.3130833333333,-21.998805555555556
2000bk,188.47475,-7.378583333333333
2000ce,121.28937499999999,66.78755555555556
2000cf,238.23412499999998,65.93686111111111
2000cm,183.24762499999994,7.300166666666667
2000cn,269.4184166666666,27.832805555555556
2000cp,241.36508333333327,17.830222222222222
2000cu,291.0872916666666,-25.984472222222223
2000cv,183.92516666666663,61.890166666666666
2000cw,356.8545833333333,28.387722222222223
2000cx,21.192458333333327,9.508694444444444
2000dg,1.5575416666666666,8.888194444444444
2000dk,16.848,32.406444444444446
2000dl,25.524041666666665,7.666166666666667
2000dm,274.7457083333333,16.248166666666666
2000dn,346.2744166666666,-3.200277777777778
2000dp,43.18504166666666,-14.531861111111112
2000ey,349.8545416666666,5.906083333333334
2000fa,108.87449999999998,23.428444444444445
2000fd,7.300375,33.10819444444444
2000fo,344.6055833333333,26.640722222222223
2001C,104.90041666666666,59.51711111111111
2001E,177.2708333333333,-9.73636111111111
