SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
04D2fp,0.415,22.52,0.04,0.18,0.19,-0.01,0.02,41.88,0.14
04D1ag,0.557,22.98,0.06,-0.46,0.47,-0.14,0.03,42.56,0.16
03D4fd,0.791,24.20,0.08,-0.17,0.42,-0.04,0.05,43.58,0.2
03D4cz,0.695,24.03,0.08,-2.36,0.41,-0.06,0.06,43.21,0.21
03D4at,0.633,23.70,0.06,-0.47,0.32,-0.05,0.04,43.05,0.17
03D3bh,0.2486,21.23,0.07,0.55,0.22,-0.01,0.05,40.61,0.15
03D3af,0.532,23.48,0.06,-0.36,0.27,0.07,0.03,42.57,0.17
03D1fc,0.331,21.81,0.04,0.21,0.19,0.03,0.02,41.08,0.14
03D1bp,0.346,22.41,0.05,-1.15,0.22,0.09,0.04,41.36,0.15
04D4dw,0.961,24.55,0.11,0.07,0.53,-0.16,0.11,44.26,0.34
04D4an,0.613,24.02,0.06,-1.41,0.35,0.07,0.03,42.99,0.17
04D3nh,0.3402,22.09,0.04,0.50,0.18,0.04,0.01,41.33,0.14
04D3lp,0.983,24.97,0.14,-1.37,0.46,-0.03,0.14,44.16,0.43
04D3is,0.71,24.21,0.07,0.18,0.33,0.21,0.04,43.02,0.18
04D3fq,0.73,24.08,0.07,-0.76,0.40,-0.00,0.05,43.28,0.19
04D3df,0.47,23.51,0.05,-2.33,0.29,0.16,0.03,42.13,0.15
04D3co,0.62,23.76,0.07,-0.95,0.28,-0.03,0.04,43.01,0.17
04D2gc,0.521,23.29,0.05,0.93,0.30,0.21,0.03,42.18,0.16
04D2cf,0.369,22.36,0.11,-0.98,0.44,-0.03,0.05,41.63,0.15
03D4gl,0.571,23.19,0.07,-0.59,0.45,0.00,0.04,42.40,0.17
03D4dy,0.604,23.27,0.06,0.89,0.21,0.05,0.03,42.53,0.16
03D4cy,0.9271,24.55,0.10,-0.14,0.29,-0.05,0.08,43.94,0.29
03D4ag,0.285,21.20,0.03,0.79,0.15,-0.10,0.01,40.85,0.14
03D3ba,0.2912,21.96,0.06,0.46,0.28,0.20,0.03,40.84,0.15
03D1gt,0.548,24.04,0.07,-2.20,0.43,0.31,0.06,42.30,0.19
03D1ew,0.868,24.31,0.09,0.19,0.37,0.05,0.07,43.49,0.25
03D1ax,0.496,22.96,0.05,-1.00,0.17,-0.02,0.03,42.21,0.15
04D4dm,0.811,24.36,0.08,0.51,0.34,0.12,0.06,43.40,0.21
04D3oe,0.756,24.06,0.08,-1.84,0.48,-0.28,0.05,43.81,0.19
04D3nc,0.817,24.24,0.09,1.39,0.72,0.02,0.07,43.65,0.21
04D3ks,0.752,23.84,0.08,0.33,0.44,-0.06,0.05,43.30,0.21
04D3hn,0.5516,23.46,0.05,-0.91,0.16,0.15,0.02,42.30,0.15
04D3fk,0.3578,22.52,0.04,-0.41,0.13,0.14,0.02,41.43,0.14
04D3dd,1.01,24.88,0.13,0.47,0.56,0.08,0.12,44.01,0.38
04D2ja,0.741,24.09,0.08,0.02,0.43,-0.12,0.05,43.72,0.22
04D2gb,0.43,22.81,0.05,-2.30,0.28,0.01,0.03,41.81,0.15
04D1ak,0.526,23.63,0.06,-1.99,0.36,0.12,0.05,42.40,0.17
03D4gg,0.592,23.37,0.06,0.85,0.42,0.09,0.03,42.58,0.17
03D4di,0.905,24.24,0.09,0.86,0.40,-0.00,0.08,43.64,0.26
03D4cx,0.949,24.47,0.10,-0.27,0.54,0.13,0.09,43.44,0.28
03D3cd,0.4607,22.60,0.08,2.20,1.01,0.03,0.04,42.07,0.18
03D3ay,0.3709,22.21,0.06,0.25,0.28,-0.04,0.03,41.67,0.15
03D1fq,0.8,24.51,0.08,-1.68,0.52,-0.03,0.06,43.71,0.22
03D1co,0.679,24.09,0.08,0.67,0.54,-0.00,0.05,43.46,0.2
03D1aw,0.5817,23.55,0.06,-0.04,0.31,0.06,0.03,42.67,0.16
04D4bq,0.55,23.32,0.06,0.02,0.33,0.14,0.03,42.28,0.16
04D3ny,0.81,24.23,0.08,0.09,0.41,0.07,0.06,43.37,0.21
04D3ml,0.95,24.51,0.10,0.86,0.54,-0.03,0.09,43.98,0.29
04D3kr,0.3373,21.93,0.04,1.10,0.19,0.02,0.02,41.29,0.14
04D3gx,0.91,24.67,0.10,-0.52,0.44,-0.16,0.08,44.31,0.27
04D3ez,0.263,21.65,0.03,-1.01,0.17,0.09,0.02,40.63,0.13
04D3cy,0.643,23.78,0.07,0.04,0.27,0.03,0.04,43.01,0.17
04D2iu,0.691,24.26,0.08,-1.83,0.55,0.10,0.07,43.09,0.25
04D2fs,0.357,22.39,0.04,-0.08,0.16,0.09,0.02,41.43,0.14
04D1aj,0.721,23.85,0.07,0.52,0.46,0.01,0.04,43.18,0.19
03D4gf,0.581,23.32,0.06,0.29,0.32,-0.04,0.02,42.74,0.16
03D4dh,0.6268,23.35,0.06,0.83,0.21,-0.01,0.03,42.76,0.16
03D4cn,0.818,24.63,0.09,-2.62,0.59,0.09,0.09,43.39,0.27
03D3cc,0.4627,22.72,0.06,0.48,0.31,0.01,0.03,42.04,0.15
03D3aw,0.449,22.54,0.06,-0.13,0.28,-0.07,0.03,42.02,0.16
03D1fl,0.688,23.58,0.07,-0.07,0.27,-0.07,0.03,43.05,0.17
03D1cm,0.87,24.54,0.11,3.41,0.96,0.01,0.09,44.23,0.28
03D1au,0.5043,22.98,0.05,1.04,0.21,0.02,0.02,42.34,0.15
b010,0.591,23.40,0.10,2.00,0.92,-0.11,0.09,43.21,0.31
b013,0.426,22.62,0.06,-0.60,0.41,0.03,0.05,41.76,0.22
b016,0.329,22.53,0.13,0.34,0.77,0.21,0.12,41.34,0.27
d058,0.583,23.52,0.07,0.17,0.65,0.18,0.08,42.40,0.29
d083,0.333,21.00,0.05,1.25,0.22,-0.04,0.03,40.55,0.2
d084,0.519,23.64,0.08,0.80,1.04,-0.01,0.1,43.07,0.31
d085,0.401,22.45,0.06,0.65,0.39,0.05,0.06,41.70,0.23
d086,0.205,21.10,0.10,-0.30,0.20,0.19,0.08,39.90,0.22
d087,0.34,21.79,0.09,-0.05,0.45,-0.06,0.07,41.21,0.23
d089,0.436,22.46,0.06,0.22,0.39,-0.04,0.05,41.88,0.22
d093,0.363,21.89,0.06,1.09,0.28,-0.09,0.05,41.55,0.21
d097,0.436,22.50,0.06,1.76,0.44,0.03,0.06,41.93,0.23
d117,0.309,22.37,0.10,-1.84,0.36,0.11,0.09,41.17,0.24
d149,0.342,22.09,0.06,0.37,0.36,0.02,0.04,41.38,0.21
e020,0.159,21.07,0.15,0.03,0.37,0.39,0.13,39.42,0.24
e029,0.332,22.40,0.09,-2.38,1.06,0.06,0.08,41.26,0.24
e108,0.469,22.57,0.09,2.01,1.63,-0.10,0.09,42.35,0.28
e132,0.239,21.77,0.07,-0.34,0.25,0.31,0.06,40.26,0.2
e136,0.352,22.73,0.06,-2.08,0.61,0.14,0.06,41.42,0.22
e138,0.612,23.45,0.08,1.04,0.62,0.03,0.07,42.81,0.28
e140,0.631,23.35,0.06,-0.44,0.60,0.09,0.05,42.38,0.24
e147,0.645,23.32,0.08,-0.38,0.43,-0.10,0.06,42.82,0.23
e148,0.429,22.63,0.05,-1.10,0.35,-0.04,0.04,41.89,0.22
e149,0.497,22.88,0.07,-0.54,0.37,0.02,0.06,42.08,0.22
f011,0.539,23.27,0.06,-1.45,0.50,0.07,0.06,42.23,0.24
f041,0.561,23.10,0.07,2.45,1.22,-0.07,0.06,42.87,0.31
f076,0.41,22.34,0.07,-1.00,0.64,0.07,0.09,41.35,0.26
f096,0.412,22.82,0.13,-0.01,1.03,0.28,0.13,41.42,0.31
f216,0.599,23.76,0.10,-3.25,1.08,-0.03,0.13,42.74,0.38
f231,0.619,23.44,0.07,1.24,0.36,-0.07,0.06,43.06,0.25
f235,0.422,22.40,0.07,-1.19,0.47,-0.07,0.07,41.73,0.23
f244,0.54,23.29,0.07,-0.59,0.76,0.00,0.08,42.51,0.28
f308,0.401,23.07,0.10,2.55,1.72,0.05,0.11,42.55,0.37
g005,0.218,21.39,0.09,1.34,0.33,0.31,0.08,40.08,0.22
g050,0.633,23.14,0.07,-0.22,0.53,0.09,0.07,42.20,0.26
g052,0.383,22.33,0.09,-2.04,0.42,-0.11,0.09,41.64,0.25
g055,0.302,23.19,0.13,1.53,0.70,0.55,0.11,41.31,0.27
g097,0.34,22.26,0.08,0.48,0.43,0.22,0.07,41.08,0.23
g120,0.51,22.80,0.06,0.21,0.44,0.10,0.05,41.88,0.23
g133,0.421,23.07,0.18,2.46,1.06,0.22,0.14,42.14,0.32
g142,0.399,23.43,0.11,-2.84,0.81,0.36,0.12,41.49,0.29
g160,0.493,22.96,0.08,1.44,0.60,0.12,0.08,42.15,0.26
g240,0.687,23.40,0.10,-0.05,0.89,-0.12,0.08,43.00,0.29
h300,0.687,23.48,0.08,0.73,0.65,0.01,0.07,42.83,0.27
h319,0.495,22.87,0.06,1.06,0.57,0.02,0.05,42.25,0.23
