SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
F-012,1.11,25.25,0.12,-2.09,1.31,-0.13,0.14,44.63,0.45
G-004,1.35,25.44,0.14,0.15,0.64,-0.03,0.05,44.83,0.19
H-003,0.85,24.35,0.09,0.58,0.31,0.09,0.07,43.49,0.17
H-005,1.241,25.39,0.16,-3.12,1.11,-0.10,0.19,44.58,0.48
K-000,1.414,25.81,0.16,0.30,0.98,0.15,0.08,44.80,0.35
N-033,1.188,25.48,0.17,-2.15,1.33,-0.04,0.18,44.61,0.5
D-000,1.017,25.20,0.12,-0.61,0.65,0.06,0.09,44.29,0.17
D-006,1.315,25.68,0.13,-1.26,0.56,-0.06,0.06,44.97,0.19
P-009,0.821,24.37,0.09,0.25,0.50,0.02,0.08,43.64,0.19
R-012,1.215,25.79,0.16,-2.06,1.53,-0.16,0.2,45.25,0.56
Z-005,0.623,23.48,0.15,-0.76,0.89,0.07,0.12,42.51,0.24
K-018,1.414,\nodata,\nodata,\nodata,\nodata,0.000,19.0,f\\,
P-001,0.926,\nodata,\nodata,\nodata,\nodata,0.552,19.0,f\\,
U-004,1.037,\nodata,\nodata,\nodata,\nodata,0.000,19.0,f\\,
X-026,1.44,\nodata,\nodata,\nodata,\nodata,0.552,19.0,f\\,
